 ;PV CHIMNEY WASTE GAS TEMP;PV_MIDLEROOF_TEMP;PV_LEFT_ROOF_TEMP;PV_ROOF_TEMP;PV_LIMIT_TEMP;PV1_BATH_TEMP;PV2_BATH_TEMP;FURNACE_PRESS_PV;FURNACE_PRESS_PV;CF2_TEMP_PLAF1;CF2_TEMP_PLAF2;CF2_TEMP_BAIN;CF2_GAZ_TOT;CPT_GAZ_CF2_ACT;;;;;;;;;;;;;;;;
CDB1000-DB409 ;786.40;933.33;909.26;921.00;904.38;579.20;576.10;0.52;0.52;698.20;698.21;22.50;1765155.00;147456.00;27-03-19;18:27:21;;;;;;;;;;;;;;
CDB1000-DB409 ;785.20;932.53;907.41;920.20;903.68;578.30;575.20;0.52;0.69;698.20;698.21;22.50;1765155.00;147456.00;27-03-19;18:27:27;;;;;;;;;;;;;;
CDB1000-DB409 ;784.70;933.33;906.48;919.40;902.87;577.20;574.10;0.46;0.52;698.20;698.21;22.50;1765155.00;147456.00;27-03-19;18:27:33;;;;;;;;;;;;;;
CDB1000-DB409 ;783.50;932.53;906.02;918.50;902.17;576.20;573.10;0.69;0.69;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:27:39;;;;;;;;;;;;;;
CDB1000-DB409 ;782.90;932.53;905.56;917.60;901.57;575.20;572.10;0.41;0.46;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:27:45;;;;;;;;;;;;;;
CDB1000-DB409 ;781.70;932.53;904.63;916.80;900.87;574.30;571.10;0.64;0.69;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:27:51;;;;;;;;;;;;;;
CDB1000-DB409 ;780.50;932.53;903.24;916.00;900.17;573.20;570.10;0.41;0.46;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:27:57;;;;;;;;;;;;;;
CDB1000-DB409 ;779.90;931.74;902.31;915.20;899.57;572.20;569.10;0.64;0.52;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:03;;;;;;;;;;;;;;
CDB1000-DB409 ;778.70;931.74;901.39;914.30;898.77;571.20;567.90;0.46;0.52;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:09;;;;;;;;;;;;;;
CDB1000-DB409 ;778.20;931.34;900.00;913.50;898.07;570.20;566.90;0.52;0.46;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:15;;;;;;;;;;;;;;
CDB1000-DB409 ;777.00;931.74;899.07;912.60;897.47;569.20;565.90;0.46;0.52;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:21;;;;;;;;;;;;;;
CDB1000-DB409 ;776.40;930.94;898.61;911.80;896.67;568.20;564.80;0.52;0.69;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:27;;;;;;;;;;;;;;
CDB1000-DB409 ;775.80;928.56;897.69;910.70;895.66;567.20;563.70;4.86;5.03;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:33;;;;;;;;;;;;;;
CDB1000-DB409 ;774.60;937.30;894.91;909.10;894.26;566.20;562.70;7.35;7.75;697.70;697.83;22.00;1765155.00;147456.00;27-03-19;18:28:39;;;;;;;;;;;;;;
CDB1000-DB409 ;774.00;913.87;894.44;909.10;893.96;565.80;562.30;2.55;2.66;697.70;697.45;22.00;1765155.00;147456.00;27-03-19;18:28:45;;;;;;;;;;;;;;
CDB1000-DB409 ;774.00;868.62;894.44;909.50;894.26;566.30;563.40;2.08;2.26;697.70;697.83;21.40;1765156.00;147456.00;27-03-19;18:28:51;;;;;;;;;;;;;;
CDB1000-DB409 ;775.80;821.77;894.44;910.40;895.06;567.70;565.90;1.97;1.97;697.70;697.83;21.40;1765156.00;147456.00;27-03-19;18:28:57;;;;;;;;;;;;;;
CDB1000-DB409 ;778.20;805.89;895.37;911.40;896.47;569.80;569.20;1.33;1.33;698.20;698.21;21.40;1765157.00;147456.00;27-03-19;18:29:03;;;;;;;;;;;;;;
CDB1000-DB409 ;782.30;818.99;895.83;911.90;897.47;572.40;573.30;0.69;0.75;698.80;698.21;21.40;1765157.00;147456.00;27-03-19;18:29:09;;;;;;;;;;;;;;
CDB1000-DB409 ;786.40;853.13;896.30;913.20;899.17;575.40;577.70;2.95;2.95;698.80;698.21;21.40;1765157.00;147456.00;27-03-19;18:29:15;;;;;;;;;;;;;;
